Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-01-01,4.934921,,,,,,,,,5,1,0,18.61610117234338,-13.957708871180039,0.27652869883665687
2022-01-02,10.341562,4.934921,4.934921,4.934921,,4.934921,4.934921,,4.934921,6,1,0,19.03532521720153,-9.530361483655913,0.8365982664543807
2022-01-03,5.007348,7.6382414999999995,7.6382414999999995,10.341562,3.8230725145412165,7.6382414999999995,7.6382414999999995,4.934921,10.341562,0,1,0,19.422522345172812,-10.30557265025176,-4.109601694921052
2022-01-04,9.688094,6.761277,6.761277,10.341562,3.1008292323991333,6.761277,5.007348,6.286581249999999,5.007348,1,1,0,19.770425269173625,-5.452575625961259,-4.629755643212366
2022-01-05,5.914476,8.345668,7.49298125,10.341562,2.924321982421381,7.49298125,7.347721,6.444813166666666,9.688094,2,1,0,20.073551173510566,-13.102990646954119,-1.0560845265564467
2022-01-06,6.005189,6.8699726666666665,7.1772802,10.341562,2.62908350143357,7.1772802,5.914476,6.920026875,5.914476,3,1,0,20.329351199614994,-11.656837976420382,-2.667324223194612
2022-01-07,13.716152,7.202586333333333,6.981931666666667,10.341562,2.3997146377978082,6.981931666666667,5.959832499999999,6.910016033333333,6.005189,4,1,0,20.537926832083073,-3.9598155173514424,-2.8619593147316316
2022-01-08,19.322357,8.545272333333333,7.943963142857143,13.716152,3.358182625665179,7.943963142857143,6.005189,6.958777749999999,13.716152,5,1,0,20.704099025645956,-3.3538241293521347,1.9720821037061782
2022-01-09,33.909314,13.014566,9.999311142857142,19.322357,5.084271393314735,9.366262375,7.8466415,7.1854198333333335,19.322357,6,1,0,20.8411007627401,5.3847084671729775,7.683504770086923
2022-01-10,43.070916,22.315941,13.366132857142857,33.909314,9.46296101724058,12.093268111111112,9.688094,8.339654833333332,33.909314,0,1,0,20.974739382732867,13.427329189436696,8.668847427830432
