Data,d3_mean,month_std,lag1d,day_of_week,season,trend,seasonal
2022-02-04,8.926307333333334,13.65259775429115,13.117264,4,0,8.273284915335244,10.39024166925032
2022-02-05,10.559351666666666,13.561531816108708,14.460542,5,0,8.448187711781458,6.801864099533063
2022-02-06,10.819447333333335,13.587453163184518,4.880536,6,0,8.784554039053509,-0.27373501178523746
2022-02-07,8.255307,13.687844755946763,5.424843,0,0,9.22055837979855,-2.26858347730669
2022-02-08,5.594126666666667,13.723626575342951,6.477001,1,0,9.65025494100175,-3.016191884098833
2022-02-09,6.712886,13.21705233908965,8.236814,2,0,10.011786554360091,-4.247969593704087
2022-02-10,7.9586033333333335,11.939351580692156,9.161995,3,0,10.269048208876873,-2.854908868250078
2022-02-11,8.460502666666665,6.75415164821565,7.982699,4,0,10.423932714415548,-4.3457094037839825
2022-02-12,7.904100666666667,5.42869286699565,6.567608,5,0,10.472291033260221,0.839176450299864
2022-02-13,7.952480666666666,5.426072664401976,9.307135,6,0,10.417508408903778,-0.1815929529474529
2022-02-14,11.623508333333334,5.717275737118626,18.995782,0,0,10.302671848260703,-1.3588909787809889
2022-02-15,16.189656666666664,6.005959267793705,20.266053,1,0,10.156833494873482,1.5882390578221477
2022-02-16,20.918960666666663,6.264460817906533,23.495047,2,0,9.98273516748057,2.712500694556705
2022-02-17,17.889051999999996,6.193165021789194,9.906056,3,0,9.782415293371946,4.978021319803245
2022-02-18,11.798933333333332,6.348296357537557,1.995697,4,0,9.537440166580383,5.496863790734956
2022-02-19,6.476999666666665,6.341414118954538,7.529246,5,0,9.299603853429915,1.1482013394038215
2022-02-20,4.408708999999999,6.349853166643684,3.701184,6,0,9.216799971325756,-4.765060586988283
2022-02-21,5.334023999999999,6.333845337764397,4.771642,0,0,9.45355513046795,-4.371839031168627
2022-02-22,3.707213333333332,6.422529793411818,2.648814,1,0,10.101748146174758,-0.7885232455958388
2022-02-23,4.330074333333332,6.345870680264295,5.569767,2,0,11.137898180079867,-3.1979354396225235
2022-02-24,5.678702333333333,5.254643277420093,8.817526,3,0,12.471477698112604,-0.6557147898234601
2022-02-25,9.645999666666667,5.364723479165644,14.550706,4,0,13.953339826628884,-1.0396740292006255
2022-02-26,10.002831666666667,5.36567456418157,6.640263,5,0,15.370354492307456,-1.4274433369470954
2022-02-27,10.359597333333332,5.368318449657017,9.887823,6,0,16.55323705579374,1.2719409398543873
2022-02-28,7.595817333333332,5.223887598901052,6.259366,0,0,17.45564112796559,1.4603076353750022
2022-03-01,11.575237999999999,5.496790087301331,18.578525,1,1,18.112661277520573,5.898145685290776
2022-03-02,21.753174666666666,7.8103550047174695,40.421633,2,1,18.590693869139194,6.709162454781261
2022-03-03,34.573805666666665,9.99779651258985,44.721259,3,1,18.958116693711993,1.424143569106946
2022-03-04,39.212075,10.689207907680876,32.493333,4,1,19.227833787250567,-6.641023199308525
2022-03-05,29.124809333333335,10.584376682177027,10.159836,5,1,19.395689598909424,-3.086106236582437
2022-03-06,17.973336,10.586454142988304,11.266839,6,1,19.468492325163897,-0.16388684460164613
2022-03-07,14.931644666666665,10.76655658645945,23.368259,0,1,19.447575124860432,-1.4625188485626415
2022-03-08,15.173637666666666,10.669573592423516,10.885815,1,1,19.3679723336727,-1.3319590960922096
2022-03-09,16.292379999999998,10.576048093186898,14.623066,2,1,19.331056350345175,-2.905721898533354
2022-03-10,13.661505333333333,10.502938586113705,15.475635,3,1,19.490228188317065,-1.6873920688581838
2022-03-11,12.578907,10.514064034261397,7.63802,4,1,19.966150827412655,1.5349700508610185
2022-03-12,12.548598666666669,10.481748733810186,14.532141,5,1,20.795546513869883,0.9383503293675741
2022-03-13,14.665222,10.522873926861138,21.825505,6,1,21.944598055251376,7.722492192486574
2022-03-14,20.74902833333333,10.628494172148192,25.889439,0,1,23.3253374940771,5.997368026804149
2022-03-15,24.55922,10.761846536629676,25.962716,1,1,24.816354483687277,0.22068957231978797
2022-03-16,25.841294333333334,10.906192021178454,25.671728,2,1,26.315148528538842,-6.991479024973034
2022-03-17,23.241024333333332,10.881642750152736,18.088629,3,1,27.678274041319565,-2.101008318645771
2022-03-18,25.539125000000002,11.244669899174369,32.857018,4,1,28.751356081153777,-0.11285731368111254
2022-03-19,27.317096333333335,11.514036411576948,31.005642,5,1,29.456867713631276,-0.7062347831712243
2022-03-20,34.810228333333335,11.97212765107739,40.568025,6,1,29.750169936458416,-0.3765949271508573
2022-03-21,33.243642333333334,11.949477813023904,28.15726,0,1,29.592617089496475,-1.1636530166695989
2022-03-22,31.949473,11.707345851597744,27.123134,1,1,28.99632812098002,-1.308259157727546
2022-03-23,31.70751633333333,11.950030058109078,39.842155,2,1,28.02348070041564,2.0951347176709696
2022-03-24,37.53166566666666,12.305078619431002,45.629708,3,1,26.719793386776097,0.25809171718937973
2022-03-25,38.53568166666667,11.990781007958015,30.135182,4,1,25.12801185079881,4.344208806417663
2022-03-26,36.70306666666667,11.871726971237079,34.34431,5,1,23.31544307263983,2.0906548792690036
2022-03-27,27.559004,11.794075517875921,18.19752,6,1,21.34921259107557,-2.144008450597667
2022-03-28,21.807808333333337,11.534193643636659,12.881595,0,1,19.3084333728251,-5.2289516066786765
2022-03-29,15.107009333333332,11.377479025967148,14.241913,1,1,17.287480041822636,-0.7190204334550593
2022-03-30,14.483919,10.974579131097355,16.328249,2,1,15.370863035563527,-0.6525815780800268
2022-03-31,14.302368666666666,11.14715017625888,12.336944,3,1,13.62233561926531,1.1419969278844406
2022-04-01,11.792647333333333,11.15688642934254,6.712749,4,1,12.129905109905769,0.9121453410165863
2022-04-02,11.121521999999999,10.485811316977019,14.314873,5,1,10.96553641548165,1.834559375331836
2022-04-03,10.879621,10.464152017852097,11.611241,6,1,10.127365333968953,1.0481724785530606
2022-04-04,10.601488333333334,10.650129327527981,5.878351,0,1,9.57605474595265,2.403124130604353
2022-04-05,9.464404666666667,10.66206528445737,10.903622,1,1,9.2958927675065,-0.6045849153413244
2022-04-06,7.843714000000001,10.97453135431928,6.749169,2,1,9.23397258042859,0.9492067928534444
2022-04-07,7.462658333333333,11.21855691640995,4.735184,3,1,9.319263740216863,-0.6867219322665005
2022-04-08,7.982780000000001,11.264227651730517,12.463987,4,1,9.491386290111581,-3.2158058188030374
2022-04-09,7.184493666666666,11.609700574472852,4.35431,5,1,9.676617510244661,-2.7110796620003037
2022-04-10,7.734826666666667,11.657935459273311,6.386183,6,1,9.822165001823032,-0.4659371383697737
2022-04-11,5.624234,11.892087271348071,6.132209,0,1,9.941489116904709,-0.6422504160819886
2022-04-12,6.331824999999999,12.125837227976639,6.477083,1,1,10.081590291808189,0.8670803704746418
2022-04-13,9.095542,12.085246932407342,14.677334,2,1,10.255863338277509,1.5195868022440397
2022-04-14,12.687742,12.013707465394175,16.908809,3,1,10.464593526855829,2.4707384058869617
